Voltage Value - Plot 0,Amplitude - Plot 0
0,-5.22E-11
0.005,6.01E-13
0.01,8.17E-11
0.015,1.31E-10
0.02,2.33E-10
0.025,4.93E-10
0.03,6.87E-10
0.035,3.70E-09
0.04,5.84E-09
0.045,7.11E-09
0.05,8.66E-09
0.055,9.67E-09
0.06,1.11E-08
0.065,1.20E-08
0.07,1.38E-08
0.075,1.49E-08
0.08,1.78E-08
0.085,-5.68E-10
0.09,2.14E-11
0.095,1.70E-08
0.1,2.19E-08
0.105,2.40E-08
0.11,2.57E-08
0.115,2.76E-08
0.12,2.88E-08
0.125,2.90E-08
0.13,3.10E-08
0.135,3.21E-08
0.14,3.25E-08
0.145,3.36E-08
0.15,3.68E-08
0.155,3.78E-08
0.16,4.16E-08
0.165,4.38E-08
0.17,4.27E-08
0.175,4.25E-08
0.18,4.51E-08
0.185,4.60E-08
0.19,4.34E-08
0.195,4.75E-08
0.2,4.74E-08
0.205,4.83E-08
0.21,5.07E-08
0.215,5.10E-08
0.22,5.16E-08
0.225,5.21E-08
0.23,5.20E-08
0.235,5.38E-08
0.24,5.91E-08
0.245,6.06E-08
0.25,6.17E-08
0.255,6.30E-08
0.26,6.11E-08
0.265,6.27E-08
0.27,6.38E-08
0.275,6.37E-08
0.28,6.43E-08
0.285,6.57E-08
0.29,6.35E-08
0.295,6.44E-08
0.3,6.39E-08
0.305,6.51E-08
0.31,6.70E-08
0.315,6.58E-08
0.32,6.75E-08
0.325,6.79E-08
0.33,6.98E-08
0.335,7.10E-08
0.34,7.20E-08
0.345,7.10E-08
0.35,7.11E-08
0.355,7.15E-08
0.36,6.93E-08
0.365,7.19E-08
0.37,7.05E-08
0.375,7.05E-08
0.38,7.20E-08
0.385,7.28E-08
0.39,7.40E-08
0.395,7.44E-08
0.4,6.95E-08
0.405,7.03E-08
0.41,7.32E-08
0.415,7.40E-08
0.42,7.67E-08
0.425,7.63E-08
0.43,7.66E-08
0.435,7.55E-08
0.44,7.68E-08
0.445,7.65E-08
0.45,7.48E-08
0.455,7.63E-08
0.46,7.85E-08
0.465,7.79E-08
0.47,7.78E-08
0.475,8.01E-08
0.48,7.97E-08
0.485,8.13E-08
0.49,8.05E-08
0.495,8.06E-08
0.5,8.34E-08
0.505,8.63E-08
0.51,8.60E-08
0.515,8.59E-08
0.52,8.68E-08
0.525,8.67E-08
0.53,9.14E-08
0.535,9.03E-08
0.54,8.87E-08
0.545,9.08E-08
0.55,9.02E-08
0.555,9.63E-08
0.56,9.75E-08
0.565,9.87E-08
0.57,9.57E-08
0.575,9.52E-08
0.58,9.60E-08
0.585,1.07E-07
0.59,1.09E-07
0.595,1.04E-07
0.6,1.05E-07
0.605,1.06E-07
0.61,1.10E-07
0.615,1.08E-07
0.62,1.07E-07
0.625,1.11E-07
0.63,1.11E-07
0.635,1.11E-07
0.64,1.32E-07
0.645,1.23E-07
0.65,1.39E-07
0.655,1.41E-07
0.66,1.33E-07
0.665,1.32E-07
0.67,1.37E-07
0.675,1.46E-07
0.68,1.45E-07
0.685,1.49E-07
0.69,1.54E-07
0.695,1.54E-07
0.7,1.59E-07
0.705,1.81E-07
0.71,1.74E-07
0.715,1.78E-07
0.72,1.80E-07
0.725,1.82E-07
0.73,1.81E-07
0.735,1.92E-07
0.74,1.96E-07
0.745,1.98E-07
0.75,2.12E-07
0.755,2.12E-07
0.76,2.07E-07
0.765,2.31E-07
0.77,2.34E-07
0.775,2.34E-07
0.78,2.35E-07
0.785,2.34E-07
0.79,2.37E-07
0.795,2.40E-07
0.8,2.49E-07
0.805,2.58E-07
0.81,2.66E-07
0.815,2.66E-07
0.82,2.66E-07
0.825,2.88E-07
0.83,2.91E-07
0.835,2.81E-07
0.84,2.86E-07
0.845,3.02E-07
0.85,3.04E-07
0.855,3.07E-07
0.86,3.18E-07
0.865,3.29E-07
0.87,3.21E-07
0.875,3.46E-07
0.88,3.57E-07
0.885,3.58E-07
0.89,3.54E-07
0.895,3.57E-07
0.9,3.67E-07
0.905,3.62E-07
0.91,3.50E-07
0.915,3.58E-07
0.92,3.84E-07
0.925,3.80E-07
0.93,3.99E-07
0.935,3.92E-07
0.94,4.00E-07
0.945,3.80E-07
0.95,4.19E-07
0.955,4.22E-07
0.96,4.23E-07
0.965,4.28E-07
0.97,4.19E-07
0.975,4.42E-07
0.98,4.47E-07
0.985,4.41E-07
0.99,4.49E-07
0.995,4.41E-07
1,4.35E-07
