Time - Plot 0,Amplitude - Plot 0
0,6.15E-10
0.4336,6.42E-10
0.5127,6.23E-10
0.59082,6.27E-10
0.66993,6.21E-10
0.74903,5.69E-10
0.82715,6.16E-10
0.90723,6.38E-10
0.98633,6.74E-10
1.06446,6.77E-10
1.14161,6.62E-10
1.22168,6.74E-10
1.29981,6.68E-10
1.37793,6.42E-10
1.45606,6.42E-10
1.53516,6.36E-10
1.61524,6.41E-10
1.69434,6.37E-10
1.77344,6.40E-10
1.85059,6.46E-10
1.92969,6.37E-10
2.00782,6.32E-10
2.08692,6.55E-10
2.16602,6.30E-10
2.24414,6.25E-10
2.32227,6.19E-10
2.40137,6.21E-10
2.4795,6.32E-10
2.5586,6.54E-10
2.63868,6.51E-10
2.71778,6.43E-10
2.7959,6.05E-10
2.87598,6.18E-10
2.95508,6.31E-10
3.03418,6.29E-10
3.11231,6.44E-10
3.19239,6.23E-10
3.27149,6.18E-10
3.34961,6.51E-10
3.42774,6.66E-10
3.50684,6.53E-10
3.58497,6.39E-10
3.66504,6.36E-10
3.74414,6.31E-10
3.82325,6.20E-10
3.90137,6.36E-10
3.98145,6.42E-10
4.06055,6.22E-10
4.13965,6.20E-10
4.21973,6.39E-10
4.29883,6.38E-10
4.37793,5.89E-10
4.45704,5.77E-10
4.53614,6.26E-10
4.61524,6.14E-10
4.69336,5.81E-10
4.77344,5.90E-10
4.85157,6.19E-10
4.93067,6.15E-10
5.00977,6.22E-10
5.08887,6.36E-10
5.16797,6.22E-10
5.24707,6.34E-10
5.3252,6.66E-10
5.40528,6.43E-10
5.48438,6.79E-10
5.5625,6.51E-10
5.64258,6.14E-10
5.72168,6.43E-10
5.79981,6.57E-10
5.87989,6.71E-10
5.95899,6.64E-10
6.03809,6.62E-10
6.11622,6.51E-10
6.19629,6.55E-10
6.27539,6.34E-10
6.3545,5.72E-10
6.43262,6.21E-10
6.5127,6.51E-10
6.5918,6.19E-10
6.6709,6.26E-10
6.74903,6.27E-10
6.82911,6.29E-10
6.90821,6.03E-10
6.98731,5.64E-10
7.06739,6.04E-10
7.14551,6.26E-10
7.22364,6.12E-10
7.30274,6.00E-10
7.37989,5.98E-10
7.45801,6.06E-10
7.53711,6.48E-10
7.61622,6.71E-10
7.69434,6.65E-10
7.77247,6.73E-10
7.85157,6.58E-10
7.93164,6.42E-10
8.01075,6.34E-10
8.08887,6.57E-10
8.16797,6.60E-10
8.24805,6.46E-10
8.32715,6.50E-10
8.40528,6.31E-10
8.48536,6.26E-10
8.56446,6.19E-10
8.64356,6.64E-10
8.72266,6.88E-10
8.80176,6.92E-10
8.88086,7.05E-10
8.95899,6.72E-10
9.03907,6.32E-10
9.11719,6.46E-10
9.19629,6.50E-10
9.27539,6.24E-10
9.35352,6.32E-10
9.43164,6.24E-10
9.51172,6.11E-10
9.59082,6.02E-10
9.66993,6.29E-10
9.74903,6.04E-10
9.82715,6.09E-10
9.90723,5.97E-10
9.98633,6.16E-10
10.0654,6.14E-10
10.1445,6.18E-10
10.2217,6.41E-10
10.3008,6.20E-10
10.3799,6.46E-10
10.459,6.73E-10
10.5381,6.70E-10
10.6162,6.70E-10
10.6943,6.80E-10
10.7734,6.25E-10
10.8535,6.16E-10
10.9326,6.76E-10
11.0107,6.80E-10
11.0908,6.63E-10
11.1689,6.76E-10
11.248,6.54E-10
11.3262,6.43E-10
11.4062,6.32E-10
11.4854,6.26E-10
11.5635,6.26E-10
11.6436,6.72E-10
11.7217,6.67E-10
11.7998,6.66E-10
11.8789,6.65E-10
11.959,6.39E-10
12.0381,6.50E-10
12.1162,6.55E-10
12.1963,6.79E-10
12.2734,6.62E-10
12.3525,6.50E-10
12.4307,6.62E-10
12.5107,6.67E-10
12.5898,6.51E-10
12.668,6.25E-10
12.7471,6.33E-10
12.8262,6.18E-10
12.9043,6.08E-10
12.9844,6.15E-10
13.0625,5.56E-10
13.1416,5.71E-10
13.2207,5.64E-10
13.2988,5.71E-10
13.3789,5.70E-10
13.458,5.76E-10
13.5361,5.68E-10
13.6162,5.86E-10
13.6943,5.77E-10
13.7725,5.65E-10
13.8516,5.93E-10
13.9316,5.85E-10
14.0107,5.95E-10
14.0889,5.90E-10
14.1689,6.27E-10
14.248,6.09E-10
14.3271,5.88E-10
14.4062,5.85E-10
14.4854,5.83E-10
14.5645,6.02E-10
14.6445,5.83E-10
14.7236,5.63E-10
14.8008,5.82E-10
14.8799,5.82E-10
14.96,5.81E-10
15.0391,5.67E-10
15.1182,5.88E-10
15.1982,6.14E-10
15.2773,6.60E-10
15.3555,6.37E-10
15.4346,6.05E-10
15.5137,6.07E-10
15.5918,5.88E-10
15.6719,5.96E-10
15.75,6.34E-10
15.8291,6.49E-10
15.9082,6.46E-10
15.9863,6.49E-10
16.0664,6.44E-10
16.1455,6.54E-10
16.2236,6.66E-10
16.3037,6.87E-10
16.3818,6.33E-10
16.46,6.41E-10
16.541,6.48E-10
16.6201,6.72E-10
16.6982,6.51E-10
16.7764,6.47E-10
16.8564,6.94E-10
16.9355,6.98E-10
17.0137,6.38E-10
17.0918,6.43E-10
17.1719,6.30E-10
17.251,6.71E-10
17.3291,6.79E-10
17.4082,6.72E-10
17.4863,6.94E-10
17.5664,6.65E-10
17.6445,6.36E-10
17.7236,6.16E-10
17.8027,6.25E-10
17.8809,6.05E-10
17.959,6.07E-10
18.0381,6.00E-10
18.1162,6.28E-10
18.1943,6.32E-10
18.2734,5.96E-10
18.3535,5.97E-10
18.4326,6.03E-10
18.5107,6.34E-10
18.5898,6.09E-10
18.6699,6.06E-10
18.749,6.25E-10
18.8281,6.14E-10
18.9062,5.91E-10
18.9854,5.99E-10
19.0654,5.97E-10
19.1445,5.91E-10
19.2227,6.08E-10
19.3018,6.01E-10
19.3809,5.83E-10
19.459,5.83E-10
19.5381,6.07E-10
19.6172,6.21E-10
19.6963,5.94E-10
19.7744,5.77E-10
19.8545,5.59E-10
19.9336,6.22E-10
20.0137,6.59E-10
20.0928,6.60E-10
20.1709,6.76E-10
20.251,6.87E-10
20.3301,6.45E-10
20.4092,6.23E-10
20.4873,6.04E-10
20.5664,5.75E-10
20.6465,5.78E-10
20.7256,6.03E-10
20.8037,6.27E-10
20.8838,6.03E-10
20.9629,6.14E-10
21.041,6.24E-10
21.1191,6.28E-10
21.1992,6.43E-10
21.2783,6.02E-10
21.3564,5.79E-10
21.4365,6.18E-10
21.5156,6.47E-10
21.5947,6.32E-10
21.6738,6.17E-10
21.752,6.04E-10
21.832,6.03E-10
21.9102,6.00E-10
21.9893,5.92E-10
22.0684,5.87E-10
22.1465,5.95E-10
22.2266,6.10E-10
22.3057,6.19E-10
22.3838,6.13E-10
22.4629,6.32E-10
22.542,6.30E-10
22.6201,6.13E-10
22.7002,5.99E-10
22.7793,6.18E-10
22.8574,5.81E-10
22.9355,5.91E-10
23.0156,5.79E-10
23.0937,5.86E-10
23.1729,6.30E-10
23.252,6.88E-10
23.3301,7.06E-10
23.4092,6.83E-10
23.4883,6.40E-10
23.5664,6.52E-10
23.6455,6.74E-10
23.7246,6.82E-10
23.8027,7.02E-10
23.8828,6.83E-10
23.9619,6.75E-10
24.04,6.47E-10
24.1201,6.23E-10
24.1983,6.18E-10
24.2764,6.07E-10
24.3545,6.11E-10
24.4346,6.32E-10
24.5137,6.40E-10
24.5928,6.61E-10
24.6719,6.74E-10
24.751,6.77E-10
24.8301,6.74E-10
24.9082,6.70E-10
24.9883,6.26E-10
25.0664,6.13E-10
25.1455,6.32E-10
25.2246,6.34E-10
25.3027,6.24E-10
25.3828,6.21E-10
25.4609,6.29E-10
25.54,6.25E-10
25.6191,6.32E-10
25.6973,6.55E-10
25.7764,6.62E-10
25.8555,6.29E-10
25.9336,6.45E-10
26.0117,6.40E-10
26.0918,6.86E-10
26.1699,6.65E-10
26.249,6.46E-10
26.3281,6.54E-10
26.4062,6.51E-10
26.4844,6.66E-10
26.5635,6.53E-10
26.6426,6.52E-10
26.7207,6.51E-10
26.8008,6.70E-10
26.8789,7.01E-10
26.958,6.58E-10
27.0371,6.19E-10
27.1152,5.96E-10
27.1924,6.21E-10
27.2725,6.03E-10
27.3506,6.75E-10
27.4287,6.65E-10
27.5068,7.12E-10
27.585,7.51E-10
27.6631,7.21E-10
27.7432,7.28E-10
27.8223,6.91E-10
27.9014,7.05E-10
27.9795,7.35E-10
28.0596,7.00E-10
28.1387,7.17E-10
28.2178,6.98E-10
28.2969,6.67E-10
28.374,6.50E-10
28.4531,6.55E-10
28.5322,6.32E-10
28.6113,6.28E-10
28.6904,6.39E-10
28.7686,6.62E-10
28.8477,6.29E-10
28.9277,6.06E-10
29.0068,6.18E-10
29.0859,5.96E-10
29.165,6.56E-10
29.2441,6.43E-10
29.3223,6.26E-10
29.4023,6.76E-10
29.4805,6.57E-10
29.5596,6.51E-10
29.6387,6.39E-10
29.7168,6.48E-10
29.7969,6.57E-10
29.876,6.17E-10
29.9551,6.06E-10
30.0342,6.25E-10
30.1123,6.15E-10
30.1914,6.20E-10
30.2715,6.53E-10
30.3506,6.36E-10
30.4287,6.42E-10
30.5088,6.44E-10
30.5879,6.21E-10
30.667,5.86E-10
30.7451,5.76E-10
30.8252,5.85E-10
30.9043,6.27E-10
30.9824,5.95E-10
31.0615,5.92E-10
31.1406,5.88E-10
31.2197,5.80E-10
31.2988,6.07E-10
31.377,6.45E-10
31.4561,6.55E-10
31.5342,6.45E-10
31.6143,6.47E-10
31.6934,6.45E-10
31.7725,6.42E-10
31.8506,6.34E-10
31.9307,6.00E-10
32.0098,6.04E-10
32.0889,6.27E-10
32.167,6.16E-10
32.2461,6.01E-10
32.3262,6.43E-10
32.4053,6.71E-10
32.4834,6.75E-10
32.5615,6.57E-10
32.6406,6.49E-10
32.7207,6.30E-10
32.7998,5.94E-10
32.8779,6.16E-10
32.958,6.26E-10
33.0371,6.35E-10
33.1152,6.55E-10
33.1953,6.62E-10
33.2734,6.51E-10
33.3516,6.61E-10
33.4316,6.45E-10
33.5098,6.44E-10
33.5879,6.26E-10
33.668,6.53E-10
33.7471,6.54E-10
33.8252,6.36E-10
33.9053,6.29E-10
33.9834,6.43E-10
34.0615,6.31E-10
34.1397,6.27E-10
34.2197,6.20E-10
34.2988,6.32E-10
34.3779,6.94E-10
34.457,7.31E-10
34.5361,7.52E-10
34.6152,7.36E-10
34.6934,6.81E-10
34.7734,6.50E-10
34.8516,6.06E-10
34.9307,6.30E-10
35.0098,6.58E-10
35.0879,6.69E-10
35.168,6.85E-10
35.2471,7.14E-10
35.3262,6.56E-10
35.4053,6.35E-10
35.4834,6.05E-10
35.5635,5.79E-10
35.6426,5.82E-10
35.7207,5.74E-10
35.7988,6.06E-10
35.8779,6.30E-10
35.957,5.84E-10
36.0361,5.74E-10
36.1143,6.08E-10
