Time - Plot 0,Amplitude - Plot 0
0,1.35E-05
0.39,1.18E-05
0.56,1.14E-05
0.64,1.21E-05
0.71,1.15E-05
0.79,1.10E-05
0.87,1.16E-05
0.95,1.07E-05
1.03,1.07E-05
1.11,1.04E-05
1.19,1.08E-05
1.27,1.04E-05
1.35,1.08E-05
1.42,1.09E-05
1.5,1.13E-05
1.59,1.14E-05
1.66,1.15E-05
1.74,1.14E-05
1.82,1.14E-05
1.9,1.11E-05
1.98,9.81E-06
2.06,9.93E-06
2.14,9.75E-06
2.22,9.87E-06
2.3,9.87E-06
2.37,1.00E-05
2.45,1.04E-05
2.53,1.06E-05
2.61,1.09E-05
2.69,1.12E-05
2.77,1.10E-05
2.85,1.10E-05
2.93,1.11E-05
3.01,1.10E-05
3.09,1.09E-05
3.17,1.09E-05
3.25,1.08E-05
3.32,1.09E-05
3.4,1.09E-05
3.48,1.10E-05
3.56,1.10E-05
3.64,1.11E-05
3.72,1.10E-05
3.8,1.11E-05
3.88,1.11E-05
3.96,1.11E-05
4.03,1.11E-05
4.11,1.11E-05
4.19,1.11E-05
4.27,1.11E-05
4.35,1.11E-05
4.43,1.11E-05
4.51,1.11E-05
4.59,1.11E-05
4.67,1.11E-05
4.75,1.11E-05
4.82,1.10E-05
4.9,1.10E-05
4.98,1.10E-05
5.06,1.10E-05
5.14,1.10E-05
5.22,1.10E-05
5.3,1.09E-05
5.38,1.10E-05
5.46,1.09E-05
5.53,1.09E-05
5.61,1.09E-05
5.69,1.09E-05
5.77,1.08E-05
5.85,1.09E-05
5.93,1.08E-05
6.01,1.08E-05
6.09,1.08E-05
6.17,1.08E-05
6.25,1.07E-05
6.33,1.07E-05
6.41,1.07E-05
6.48,1.06E-05
6.56,1.06E-05
6.64,1.06E-05
6.72,1.05E-05
6.8,1.05E-05
6.88,1.05E-05
6.96,1.04E-05
7.04,1.04E-05
7.12,1.03E-05
7.19,1.03E-05
7.27,1.03E-05
7.35,1.02E-05
7.43,1.02E-05
7.51,1.01E-05
7.59,1.01E-05
7.67,1.00E-05
7.75,9.98E-06
7.83,1.02E-05
7.91,1.01E-05
7.98,1.01E-05
8.06,9.86E-06
8.14,9.80E-06
8.22,9.73E-06
8.3,9.69E-06
8.38,9.68E-06
8.46,9.60E-06
8.54,9.62E-06
8.62,9.59E-06
8.69,9.55E-06
8.78,9.47E-06
8.85,9.41E-06
8.93,9.30E-06
9.01,9.21E-06
9.09,9.19E-06
9.17,9.16E-06
9.25,9.10E-06
9.33,9.06E-06
9.41,8.90E-06
9.48,8.84E-06
9.56,8.81E-06
9.64,8.68E-06
9.72,8.67E-06
9.8,8.64E-06
9.88,8.58E-06
9.96,8.60E-06
10.04,8.56E-06
10.12,8.44E-06
10.19,8.42E-06
10.27,8.36E-06
10.35,8.32E-06
10.43,8.28E-06
10.51,8.25E-06
10.59,8.17E-06
10.67,8.12E-06
10.75,8.11E-06
10.83,8.07E-06
10.91,8.04E-06
10.98,7.99E-06
11.06,7.93E-06
11.14,7.91E-06
11.22,7.85E-06
11.3,7.83E-06
11.38,7.79E-06
11.46,7.72E-06
11.54,7.67E-06
11.62,7.64E-06
11.7,7.78E-06
11.78,7.69E-06
11.85,7.66E-06
11.93,7.64E-06
12.01,7.69E-06
12.09,7.68E-06
12.17,7.83E-06
12.25,7.83E-06
12.33,8.26E-06
12.41,8.13E-06
12.49,8.05E-06
12.57,8.09E-06
12.65,8.18E-06
12.72,8.23E-06
12.8,8.54E-06
12.88,8.65E-06
12.96,8.50E-06
13.04,8.81E-06
13.12,8.26E-06
13.2,8.21E-06
13.28,8.20E-06
13.35,7.92E-06
13.43,7.87E-06
13.51,8.11E-06
13.59,8.16E-06
13.67,8.31E-06
13.75,7.99E-06
13.83,8.03E-06
13.91,7.98E-06
13.98,8.08E-06
14.06,7.80E-06
14.14,8.61E-06
14.22,8.82E-06
14.3,8.74E-06
14.38,8.77E-06
14.46,8.40E-06
14.54,8.49E-06
14.62,8.10E-06
14.7,7.97E-06
14.78,7.92E-06
14.85,8.20E-06
14.93,8.59E-06
15.01,8.39E-06
15.09,8.48E-06
15.17,8.53E-06
15.25,8.06E-06
15.33,7.79E-06
15.41,7.35E-06
15.49,8.02E-06
15.57,7.71E-06
15.64,7.57E-06
15.72,8.12E-06
15.8,7.86E-06
15.88,7.83E-06
15.96,7.78E-06
16.04,7.59E-06
16.12,7.51E-06
16.2,7.66E-06
