Time - Plot 0,Amplitude - Plot 0
0,9.88E-05
0.2148,8.89E-05
0.3809,8.67E-05
0.459,8.42E-05
0.5381,8.23E-05
0.6172,8.14E-05
0.6963,8.00E-05
0.7754,7.92E-05
0.8545,7.84E-05
0.9316,7.78E-05
1.0098,7.68E-05
1.0889,7.66E-05
1.168,7.60E-05
1.2471,7.54E-05
1.3242,7.51E-05
1.4023,7.43E-05
1.4795,7.38E-05
1.5576,7.36E-05
1.6367,7.30E-05
1.7158,7.26E-05
1.7939,7.23E-05
1.874,7.19E-05
1.9531,7.14E-05
2.0312,7.10E-05
2.1113,7.07E-05
2.1894,7.03E-05
2.2685,7.02E-05
2.3476,6.97E-05
2.4268,6.97E-05
2.5059,6.96E-05
2.584,6.90E-05
2.6631,6.88E-05
2.7422,6.84E-05
2.8203,6.79E-05
2.8975,6.76E-05
2.9756,6.75E-05
3.0537,6.73E-05
3.1318,6.73E-05
3.2119,6.70E-05
3.29,6.69E-05
3.3711,6.66E-05
3.4492,6.63E-05
3.5283,6.62E-05
3.6074,6.58E-05
3.6855,6.56E-05
3.7637,6.56E-05
3.8418,6.53E-05
3.9209,6.51E-05
3.998,6.51E-05
4.0771,6.48E-05
4.1553,6.47E-05
4.2344,6.46E-05
4.3125,6.44E-05
4.3926,6.43E-05
4.4707,6.42E-05
4.5488,6.40E-05
4.6269,6.38E-05
4.7041,6.36E-05
4.7832,6.36E-05
4.8613,6.32E-05
4.9394,6.32E-05
5.0195,6.31E-05
5.0976,6.29E-05
5.1777,6.27E-05
5.2568,6.26E-05
5.3359,6.23E-05
5.415,6.22E-05
5.4932,6.22E-05
5.5732,6.22E-05
5.6523,6.19E-05
5.7305,6.19E-05
5.8096,6.17E-05
5.8877,6.15E-05
5.9658,6.14E-05
6.0449,6.14E-05
6.124,6.12E-05
6.2021,6.14E-05
6.2822,6.11E-05
6.3603,6.11E-05
6.4385,6.09E-05
6.5185,6.07E-05
6.5976,6.08E-05
6.6758,6.06E-05
6.7549,6.06E-05
6.834,6.04E-05
6.9121,6.03E-05
6.9912,6.02E-05
7.0703,6.03E-05
7.1494,6.01E-05
7.2285,5.98E-05
7.3076,5.96E-05
7.3848,5.94E-05
7.4629,5.94E-05
7.542,5.93E-05
7.6201,5.92E-05
7.6982,5.93E-05
7.7764,5.91E-05
7.8545,5.92E-05
7.9326,5.90E-05
8.0117,5.89E-05
8.0908,5.87E-05
8.1699,5.86E-05
8.249,5.85E-05
8.3281,5.85E-05
8.4062,5.85E-05
8.4863,5.84E-05
8.5644,5.83E-05
8.6445,5.81E-05
8.7226,5.80E-05
8.8008,5.80E-05
8.8789,5.79E-05
8.959,5.79E-05
9.0371,5.78E-05
9.1162,5.79E-05
9.1934,5.78E-05
9.2715,5.76E-05
9.3486,5.76E-05
9.4277,5.72E-05
9.5068,5.72E-05
9.585,5.72E-05
9.6621,5.71E-05
9.7393,5.71E-05
9.8193,5.69E-05
9.8984,5.69E-05
9.9766,5.70E-05
10.0566,5.67E-05
10.1348,5.67E-05
10.2139,5.67E-05
10.292,5.66E-05
10.3721,5.66E-05
10.4502,5.65E-05
10.5283,5.63E-05
