Voltage Value - Plot 0,Amplitude - Plot 0
0.26,2.75E-07
0.265,2.78E-07
0.27,2.79E-07
0.275,2.95E-07
0.28,2.92E-07
0.285,2.89E-07
0.29,2.89E-07
0.295,2.90E-07
0.3,2.93E-07
0.305,2.91E-07
0.31,2.91E-07
0.315,2.88E-07
0.32,2.87E-07
0.325,2.97E-07
0.33,2.95E-07
0.335,2.98E-07
0.34,2.98E-07
0.345,2.97E-07
0.35,3.08E-07
0.355,3.08E-07
0.36,3.04E-07
0.365,3.04E-07
0.37,3.04E-07
0.375,3.19E-07
0.38,3.19E-07
0.385,3.11E-07
0.39,3.12E-07
0.395,3.18E-07
0.4,3.11E-07
0.405,3.11E-07
0.41,3.14E-07
0.415,3.19E-07
0.42,3.26E-07
0.425,3.27E-07
0.43,3.27E-07
0.435,3.28E-07
0.44,3.28E-07
0.445,3.30E-07
0.45,3.40E-07
0.455,3.31E-07
0.46,3.28E-07
0.465,3.31E-07
0.47,3.31E-07
0.475,3.32E-07
0.48,3.35E-07
0.485,3.31E-07
0.49,3.27E-07
0.495,3.33E-07
0.5,3.32E-07
0.505,3.41E-07
0.51,3.48E-07
0.515,3.39E-07
0.52,3.39E-07
0.525,3.54E-07
0.53,3.70E-07
0.535,3.58E-07
0.54,3.35E-07
0.545,3.22E-07
0.55,3.19E-07
0.555,3.20E-07
0.56,3.18E-07
0.565,3.21E-07
0.57,3.17E-07
0.575,3.15E-07
0.58,3.17E-07
0.585,3.17E-07
0.59,3.19E-07
0.595,3.25E-07
0.6,3.27E-07
0.605,3.27E-07
0.61,3.25E-07
0.615,3.25E-07
0.62,3.31E-07
0.625,3.32E-07
0.63,3.37E-07
0.635,3.36E-07
0.64,3.35E-07
0.645,3.35E-07
0.65,3.38E-07
0.655,3.47E-07
0.66,3.55E-07
0.665,3.59E-07
0.67,3.59E-07
0.675,3.67E-07
0.68,3.71E-07
0.685,3.78E-07
0.69,3.86E-07
0.695,3.83E-07
0.7,3.96E-07
0.705,3.99E-07
0.71,4.04E-07
0.715,4.11E-07
0.72,4.09E-07
0.725,4.21E-07
0.73,4.34E-07
0.735,4.36E-07
0.74,4.48E-07
0.745,4.56E-07
0.75,4.66E-07
0.755,4.75E-07
0.76,4.79E-07
0.765,4.88E-07
0.77,4.98E-07
0.775,5.00E-07
0.78,5.16E-07
0.785,5.24E-07
0.79,5.36E-07
0.795,5.50E-07
0.8,5.59E-07
0.805,5.76E-07
0.81,5.85E-07
0.815,5.97E-07
0.82,5.97E-07
0.825,6.21E-07
0.83,6.35E-07
0.835,6.41E-07
0.84,6.57E-07
0.845,6.74E-07
0.85,6.87E-07
0.855,7.00E-07
0.86,7.12E-07
0.865,7.26E-07
0.87,7.38E-07
0.875,7.46E-07
0.8798,7.59E-07
0.885,7.72E-07
0.89,7.80E-07
0.895,7.88E-07
0.9,8.02E-07
0.905,8.22E-07
0.91,8.36E-07
0.915,8.44E-07
0.92,8.60E-07
0.925,8.55E-07
0.93,8.79E-07
0.935,8.82E-07
0.94,8.94E-07
0.945,9.04E-07
0.95,9.20E-07
0.955,9.38E-07
0.96,9.37E-07
0.965,9.49E-07
0.97,9.51E-07
0.975,9.73E-07
0.98,9.88E-07
0.985,9.86E-07
0.99,1.00E-06
0.995,1.01E-06
1,1.02E-06
